CustomerCatalogueItemID,CustomerID,ProductName,Product Category,Description,Ingredients,QuantityRequired
CC057,C003,Great Value Mountain Lightning Citrus‑Flavored Soda,Soft Drink,Budget citrus‑flavored soda,Carbonated water; High fructose corn syrup; Citric acid; Natural and artificial flavors; Sodium benzoate,800000
CC058,C003,Purina Beyond Salmon & Brown Rice Cat Food,Pet Food,"Real salmon with oatmeal, cranberries & added omegas",Salmon; Brown rice; Oatmeal; Dried beet pulp; Cranberries; Fish oil; Vitamins & minerals,600000
CC059,C003,Limited Ingredient Real Rabbit Wet Dog Food,Pet Food,"Grain‑free wet dog food, no common allergens",Rabbit; Rabbit broth; Pea protein; Tapioca starch; Natural flavors,500000
CC060,C003,Great Value Pure Granulated Sugar 4 lb,Baking Ingredient,Enriched all‑purpose granulated sugar,Sugar,400000
CC061,C003,Dr. Oetker Baking Powder 0.5 oz (6‑pack),Baking Ingredient,Leavening agent for baking,Sodium acid pyrophosphate; Sodium bicarbonate; Corn starch; Monocalcium phosphate,600000
CC062,C003,Dr. Oetker Natural Vanilla Sugar,Snack & Baking,Vanilla flavored sugar crystals,Sugar; Natural flavor (vanilla),500000
CC063,C003,Alpine Spiced Cider Powder Drink Mix,Soft Drink Mix,Apple‑cider powdered drink mix,Sugar; Citric acid; Natural flavors; Malic acid; Spices; FD&C coloring,400000
CC064,C003,Dole Tropical Drink Mix (Sugar‑Free),Soft Drink Mix,Peach mango & strawberry‑pineapple drink mix,Erythritol; Malic acid; Natural flavors; Citric acid; Sucralose; Artificial colors,300000
CC065,C003,Great Value All‑Purpose Flour 5 lb,Baking Ingredient,Enriched all‑purpose wheat flour,"Enriched wheat flour (bleached): niacin, iron, thiamine, riboflavin, folic acid",400000
CC066,C003,Great Value Deluxe Mixed Nuts 30 oz,Snack Nuts,Salted mixed nuts,Almonds; Cashews; Peanuts; Pecans; Salt,500000
CC067,C003,Great Value Mountain Lightning Citrus‑Flavored Soda,Soft Drink,Budget citrus‑flavored soda,Carbonated water; High fructose corn syrup; Citric acid; Natural and artificial flavors; Sodium benzoate,250000
CC068,C003,Purina Beyond Salmon & Brown Rice Cat Food,Pet Food,"Real salmon with oatmeal, cranberries & added omegas",Salmon; Brown rice; Oatmeal; Dried beet pulp; Cranberries; Fish oil; Vitamins & minerals,180000
CC069,C003,Limited Ingredient Real Rabbit Wet Dog Food,Pet Food,"Grain‑free wet dog food, no common allergens",Rabbit; Rabbit broth; Pea protein; Tapioca starch; Natural flavors,900000
CC070,C003,Great Value Pure Granulated Sugar 4 lb,Baking Ingredient,Enriched all‑purpose granulated sugar,Sugar,600000
CC071,C003,Dr. Oetker Baking Powder 0.5 oz (6‑pack),Baking Ingredient,Leavening agent for baking,Sodium acid pyrophosphate; Sodium bicarbonate; Corn starch; Monocalcium phosphate,500000
CC072,C003,Dr. Oetker Natural Vanilla Sugar,Snack & Baking,Vanilla flavored sugar crystals,Sugar; Natural flavor (vanilla),400000
CC073,C003,Alpine Spiced Cider Powder Drink Mix,Soft Drink Mix,Apple‑cider powdered drink mix,Sugar; Citric acid; Natural flavors; Malic acid; Spices; FD&C coloring,600000
CC074,C003,Dole Tropical Drink Mix (Sugar‑Free),Soft Drink Mix,Peach mango & strawberry‑pineapple drink mix,Erythritol; Malic acid; Natural flavors; Citric acid; Sucralose; Artificial colors,500000
CC075,C003,Great Value All‑Purpose Flour 5 lb,Baking Ingredient,Enriched all‑purpose wheat flour,"Enriched wheat flour (bleached): niacin, iron, thiamine, riboflavin, folic acid",400000
CC076,C003,Great Value Deluxe Mixed Nuts 30 oz,Snack Nuts,Salted mixed nuts,Almonds; Cashews; Peanuts; Pecans; Salt,300000
CC077,C003,Great Value Mountain Lightning Citrus‑Flavored Soda,Soft Drink,Budget citrus‑flavored soda,Carbonated water; High fructose corn syrup; Citric acid; Natural and artificial flavors; Sodium benzoate,400000
CC078,C003,Purina Beyond Salmon & Brown Rice Cat Food,Pet Food,"Real salmon with oatmeal, cranberries & added omegas",Salmon; Brown rice; Oatmeal; Dried beet pulp; Cranberries; Fish oil; Vitamins & minerals,500000
CC079,C003,Limited Ingredient Real Rabbit Wet Dog Food,Pet Food,"Grain‑free wet dog food, no common allergens",Rabbit; Rabbit broth; Pea protein; Tapioca starch; Natural flavors,250000
CC080,C003,Great Value Pure Granulated Sugar 4 lb,Baking Ingredient,Enriched all‑purpose granulated sugar,Sugar,180000
CC081,C003,Dr. Oetker Baking Powder 0.5 oz (6‑pack),Baking Ingredient,Leavening agent for baking,Sodium acid pyrophosphate; Sodium bicarbonate; Corn starch; Monocalcium phosphate,700000
CC082,C003,Dr. Oetker Natural Vanilla Sugar,Snack & Baking,Vanilla flavored sugar crystals,Sugar; Natural flavor (vanilla),500000
CC083,C003,Alpine Spiced Cider Powder Drink Mix,Soft Drink Mix,Apple‑cider powdered drink mix,Sugar; Citric acid; Natural flavors; Malic acid; Spices; FD&C coloring,400000
CC084,C003,Dole Tropical Drink Mix (Sugar‑Free),Soft Drink Mix,Peach mango & strawberry‑pineapple drink mix,Erythritol; Malic acid; Natural flavors; Citric acid; Sucralose; Artificial colors,300000
CC085,C003,Great Value All‑Purpose Flour 5 lb,Baking Ingredient,Enriched all‑purpose wheat flour,"Enriched wheat flour (bleached): niacin, iron, thiamine, riboflavin, folic acid",500000
CC086,C003,Great Value Deluxe Mixed Nuts 30 oz,Snack Nuts,Salted mixed nuts,Almonds; Cashews; Peanuts; Pecans; Salt,400000
CC087,C003,Great Value Mountain Lightning Citrus‑Flavored Soda,Soft Drink,Budget citrus‑flavored soda,Carbonated water; High fructose corn syrup; Citric acid; Natural and artificial flavors; Sodium benzoate,400000
CC088,C003,Purina Beyond Salmon & Brown Rice Cat Food,Pet Food,"Real salmon with oatmeal, cranberries & added omegas",Salmon; Brown rice; Oatmeal; Dried beet pulp; Cranberries; Fish oil; Vitamins & minerals,250000
CC089,C003,Limited Ingredient Real Rabbit Wet Dog Food,Pet Food,"Grain‑free wet dog food, no common allergens",Rabbit; Rabbit broth; Pea protein; Tapioca starch; Natural flavors,300000
CC090,C003,Great Value Pure Granulated Sugar 4 lb,Baking Ingredient,Enriched all‑purpose granulated sugar,Sugar,350000
CC091,C003,Dr. Oetker Baking Powder 0.5 oz (6‑pack),Baking Ingredient,Leavening agent for baking,Sodium acid pyrophosphate; Sodium bicarbonate; Corn starch; Monocalcium phosphate,250000
CC092,C003,Dr. Oetker Natural Vanilla Sugar,Snack & Baking,Vanilla flavored sugar crystals,Sugar; Natural flavor (vanilla),300000
CC093,C003,Alpine Spiced Cider Powder Drink Mix,Soft Drink Mix,Apple‑cider powdered drink mix,Sugar; Citric acid; Natural flavors; Malic acid; Spices; FD&C coloring,700000
CC094,C003,Dole Tropical Drink Mix (Sugar‑Free),Soft Drink Mix,Peach mango & strawberry‑pineapple drink mix,Erythritol; Malic acid; Natural flavors; Citric acid; Sucralose; Artificial colors,500000
CC095,C003,Great Value All‑Purpose Flour 5 lb,Baking Ingredient,Enriched all‑purpose wheat flour,"Enriched wheat flour (bleached): niacin, iron, thiamine, riboflavin, folic acid",400000
CC096,C003,Great Value Deluxe Mixed Nuts 30 oz,Snack Nuts,Salted mixed nuts,Almonds; Cashews; Peanuts; Pecans; Salt,300000
CC097,C003,Great Value Mountain Lightning Citrus‑Flavored Soda,Soft Drink,Budget citrus‑flavored soda,Carbonated water; High fructose corn syrup; Citric acid; Natural and artificial flavors; Sodium benzoate,500000
CC098,C003,Purina Beyond Salmon & Brown Rice Cat Food,Pet Food,"Real salmon with oatmeal, cranberries & added omegas",Salmon; Brown rice; Oatmeal; Dried beet pulp; Cranberries; Fish oil; Vitamins & minerals,400000
CC099,C003,Limited Ingredient Real Rabbit Wet Dog Food,Pet Food,"Grain‑free wet dog food, no common allergens",Rabbit; Rabbit broth; Pea protein; Tapioca starch; Natural flavors,400000
CC100,C003,Great Value Pure Granulated Sugar 4 lb,Baking Ingredient,Enriched all‑purpose granulated sugar,Sugar,250000
CC101,C001,Starbucks® Chocolate Chip Cookie,Cookies,Premium chocolate chip cookies,"Biscuit Dough, Chocolate chips, Sugar, Vanilla extract, Eggs, Butter",800000
CC102,C001,Starbucks® Vanilla Sugar Cookie,Cookies,Premium vanilla sugar cookies,"Biscuit Dough, Sugar, Vanilla extract, Eggs, Butter",600000
CC103,C001,Starbucks® Buttermilk Biscuit,Biscuits,Traditional buttermilk biscuits,"Biscuit Dough, Buttermilk, Butter, Salt",400000
CC104,C002,McDonald's® Sausage Gravy Biscuit,Biscuits,Sausage gravy with biscuits,"Sausage Gravy,Biscuit Dough, Sausage, Black pepper",1200000
CC105,C002,McDonald's® Country Style Gravy,Biscuits,Country style gravy for biscuits,"Gravy Mix, Milk, Butter, Flour, Black pepper",900000
CC106,C002,McDonald's® Brown Gravy,Biscuits,Brown gravy for sandwiches,"Brown Gravy Mix, Water, Beef stock, Onion powder, Garlic powder",700000
CC107,C003,Walmart® Chocolate Chip Cookie Mix,Baking Mixes,Chocolate chip cookie mix," Biscuit Mix, Chocolate chips, Sugar, Vanilla extract, Eggs",500000
CC108,C003,Walmart® Vanilla Sugar Cookie Mix,Baking Mixes,Vanilla sugar cookie mix," Biscuit Mix, Sugar, Vanilla extract, Eggs, Butter",400000
CC109,C001,Starbucks® Cheddar Cheese Sauce,Sauces,Cheddar cheese sauce for sandwiches," Cheddar Cheese Sauce Mix, Milk, Butter, Flour, Cheddar cheese",300000
CC110,C002,McDonald's® Nacho Cheese Sauce,Sauces,Nacho cheese sauce for nachos," Nacho Cheese Sauce Mix, Milk, Butter, Jalapeños, Spices",600000
CC111,C003,Walmart® Alfredo Sauce Mix,Sauces,Alfredo sauce mix for pasta," Alfredo Sauce Mix, Milk, Butter, Parmesan cheese, Garlic",400000
CC112,C001,Starbucks® Chocolate Brownie,Desserts,Chocolate brownies," Chocolate Brownie Mix, Eggs, Oil, Water, Chocolate chips",300000
CC113,C002,McDonald's® French Doughnut,Desserts,French doughnuts," French Doughnut and Sopaipilla Mix, Eggs, Milk, Oil, Sugar",500000
CC114,C003,Walmart® Sopapilla Mix,Desserts,Sopapilla mix for Mexican pastries,"Morrison's® Sopapilla Mix, Eggs, Milk, Oil, Cinnamon sugar",400000
CC115,C001,Starbucks® Cornbread,Bread,Cornbread for breakfast," Cornbread Mix, Eggs, Milk, Oil, Sugar",600000
CC116,C002,McDonald's® Pancake Mix,Breakfast,Pancake mix for breakfast," Buttermilk Pancake & Waffle Mix, Eggs, Milk, Oil, Vanilla",800000
CC117,C003,Walmart® Waffle Mix,Breakfast,Waffle mix for breakfast," Western Style Buttermilk Pancake & Waffle Mix, Eggs, Milk, Oil, Sugar",500000
CC118,C001,Starbucks® Pizza Dough,Pizza,Pizza dough for sandwiches,"Great American Pizza Dough Mix - No Yeast, Water, Oil, Salt, Sugar",400000
CC119,C002,McDonald's® Tortilla Mix,Tortillas,Tortilla mix for wraps," White Wings Flour Tortilla Mix, Water, Oil, Salt",600000
CC120,C003,Walmart® Flour Tortilla,Tortillas,Flour tortillas for Mexican food,"Conestoga™ Tortilla Pre-Mix, Water, Oil, Salt, Sugar",700000
